identifier1	identifier2	annotator	judgment	comment	lemma	round
nf_1833_747531.txt-2651-12	nf_1991_774072.txt-1394-40	annotator2	2		chef_nn	3
fic_2005_50340.txt-357-17	fic_1848_1108.txt-1271-6	annotator2	3		chef_nn	3
fic_1827_7168.txt-915-10	fic_1846_544.txt-2808-20	annotator2	1		chef_nn	3
nf_1833_747531.txt-2651-12	mag_1986_432289.txt-29-3	annotator2	1		chef_nn	3
mag_1827_553811.txt-58-39	mag_1836_554393.txt-176-6	annotator2	4		chef_nn	3
news_2006_623955.txt-26-1	fic_1848_1108.txt-660-44	annotator2	3		chef_nn	3
news_2005_623919.txt-25-4	mag_1994_409087.txt-47-2	annotator2	4		chef_nn	3
nf_1844_747533.txt-1857-4	mag_1836_554393.txt-176-6	annotator2	2		chef_nn	3
news_1993_600214.txt-63-19	nf_1977_774125.txt-767-0	annotator2	3		chef_nn	3
fic_1995_39408.txt-349-5	fic_1846_544.txt-2808-20	annotator2	3		chef_nn	3
mag_1827_553811.txt-241-8	fic_1846_544.txt-2808-20	annotator2	3		chef_nn	3
mag_1832_564353.txt-125-27	mag_1836_554393.txt-176-6	annotator2	2		chef_nn	3
news_2002_603927.txt-69-19	news_1995_638686.txt-13-1	annotator2	4		chef_nn	3
fic_1830_7266.txt-2405-21	fic_1846_544.txt-2808-20	annotator6	2		chef_nn	3
news_2006_623955.txt-26-1	fic_1848_1108.txt-660-44	annotator6	2		chef_nn	3
news_1994_606769.txt-54-0	mag_1834_564675.txt-91-45	annotator6	2		chef_nn	3
nf_1991_774072.txt-1394-40	mag_1860_567343.txt-87-1	annotator6	2		chef_nn	3
mag_1850_555680.txt-297-13	mag_1836_554393.txt-176-6	annotator6	4		chef_nn	3
fic_1835_7142.txt-815-43	mag_1836_554393.txt-176-6	annotator6	4		chef_nn	3
mag_1835_554346.txt-89-53	fic_1846_544.txt-2808-20	annotator6	2		chef_nn	3
mag_1986_432289.txt-29-3	fic_1827_7168.txt-1724-40	annotator6	2		chef_nn	3
news_2006_629441.txt-92-6	fic_1848_1108.txt-1267-1	annotator6	4		chef_nn	3
mag_1986_432289.txt-29-3	mag_1995_395507.txt-45-4	annotator6	4		chef_nn	3
fic_2005_50340.txt-357-17	mag_1836_554393.txt-176-33	annotator6	4		chef_nn	3
fic_1963_780073.txt-1843-7	news_1969_727860.txt-19-7	annotator6	4		chef_nn	3
news_2006_629441.txt-92-6	mag_2009_406412.txt-9-7	annotator6	4		chef_nn	3
mag_1860_567343.txt-87-1	mag_1836_554393.txt-176-6	annotator6	2		chef_nn	3
fic_1844_3928.txt-1406-9	mag_1836_554393.txt-176-6	annotator6	4		chef_nn	3
news_2006_623954.txt-164-19	news_1995_631301.txt-29-11	annotator6	4		chef_nn	3
nf_1977_774125.txt-1398-15	fic_1827_7168.txt-915-10	annotator5	3		chef_nn	3
news_2004_640280.txt-14-1	fic_1846_544.txt-2808-20	annotator5	3		chef_nn	3
fic_1835_7142.txt-815-43	news_2007_637870.txt-20-6	annotator5	3		chef_nn	3
mag_1827_553813.txt-226-40	mag_1836_554393.txt-176-6	annotator5	0	foreign langage	chef_nn	3
mag_1834_564675.txt-91-45	fic_1846_544.txt-2808-20	annotator5	2		chef_nn	3
mag_1845_565442.txt-141-14	mag_1836_554393.txt-176-6	annotator5	2		chef_nn	3
mag_1827_553811.txt-58-39	mag_1836_554393.txt-176-6	annotator5	4		chef_nn	3
fic_1855_602.txt-2563-6	mag_1836_554393.txt-176-33	annotator5	4		chef_nn	3
fic_1827_7168.txt-1724-40	mag_1836_554393.txt-176-6	annotator5	2		chef_nn	3
mag_1860_567343.txt-87-1	mag_1836_554393.txt-176-6	annotator5	2		chef_nn	3
fic_1852_9031.txt-1189-25	mag_1836_554393.txt-176-6	annotator5	2		chef_nn	3
fic_1844_3928.txt-2149-12	mag_1836_554393.txt-176-6	annotator5	4		chef_nn	3
fic_1843_7026.txt-1111-34	fic_1846_544.txt-2808-20	annotator5	2		chef_nn	3
fic_2005_50340.txt-357-17	fic_2003_27409.txt-227-20	annotator0	4		chef_nn	3
fic_1844_3928.txt-2022-43	fic_1846_544.txt-2808-20	annotator0	0	I think “chef de bataillon” is generally connsidered French	chef_nn	3
mag_1843_565236.txt-728-35	mag_1836_554393.txt-176-6	annotator0	0	I think “chef de brigade” is generally connsidered French	chef_nn	3
fic_1840_7057.txt-1784-63	mag_1836_554393.txt-176-6	annotator0	0	I think “chef de brigade” is generally connsidered French	chef_nn	3
fic_1851_1184.txt-1851-6	mag_1836_554393.txt-176-6	annotator0	0	I think “chef de brigade” is generally connsidered French	chef_nn	3
mag_1986_432289.txt-29-3	fic_1827_7168.txt-1724-40	annotator0	0	I think “chef d'oeuvre” is still generally connsidered French, though it is sometimes used in English	chef_nn	3
fic_2003_27409.txt-227-20	news_1994_606769.txt-54-0	annotator0	4		chef_nn	3
news_2006_629441.txt-92-6	mag_2009_406412.txt-9-7	annotator0	4		chef_nn	3
fic_1835_7142.txt-815-43	news_2007_637870.txt-20-6	annotator0	0	I think “chef d'escadron” is generally connsidered French	chef_nn	3
fic_1844_3928.txt-3841-15	mag_1836_554393.txt-176-6	annotator0	0	I think both of these are French	chef_nn	3
news_1995_631270.txt-48-3	fic_1819_8988.txt-1529-15	annotator0	0	UNK; I can't determine the meaning in sentence 1	chef_nn	3
mag_1836_554393.txt-176-6	mag_1835_554346.txt-89-53	annotator0	0	I think both of these are French	chef_nn	3
mag_1834_564675.txt-91-45	fic_1846_544.txt-2808-20	annotator0	0	I think “chef d'oeuvre” is still generally connsidered French, though it is sometimes used in English	chef_nn	3
mag_2004_416263.txt-0-3	fic_1848_1108.txt-660-44	annotator2	0	ambiguous	chef_nn	2
fic_2004_49470.txt-126-19	nf_1991_774072.txt-1394-40	annotator2	4		chef_nn	2
fic_1851_1184.txt-1851-6	mag_2002_397228.txt-0-30	annotator2	4		chef_nn	2
fic_1995_39282.txt-307-1	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
mag_1843_565236.txt-728-35	fic_2004_32588.txt-86-3	annotator2	1		chef_nn	2
fic_1819_8988.txt-1529-15	news_1995_631270.txt-48-3	annotator2	4		chef_nn	2
fic_2003_27409.txt-227-20	nf_1991_774072.txt-1394-40	annotator2	4		chef_nn	2
fic_1848_1108.txt-882-6	fic_1848_1108.txt-660-44	annotator2	0	ambiguous	chef_nn	2
fic_1850_7304.txt-1678-37	mag_1994_409087.txt-47-2	annotator2	0	French	chef_nn	2
mag_1995_395507.txt-44-0	fic_1992_40323.txt-77-14	annotator2	4		chef_nn	2
fic_1848_1108.txt-895-6	fic_2004_32588.txt-86-3	annotator2	0	ambiguous	chef_nn	2
mag_1994_409087.txt-47-2	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
fic_2000_28758.txt-105-13	nf_1977_774125.txt-1398-15	annotator2	4		chef_nn	2
mag_1836_554393.txt-176-33	fic_2005_50340.txt-357-17	annotator2	4		chef_nn	2
fic_2008_36299.txt-94-1	fic_1848_1108.txt-660-44	annotator2	0	ambiguous	chef_nn	2
fic_1848_1108.txt-902-6	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
mag_1997_428061.txt-153-6	nf_1977_774125.txt-1297-15	annotator2	0		chef_nn	2
nf_1977_774125.txt-1317-2	nf_1977_774125.txt-1398-15	annotator2	4		chef_nn	2
mag_1989_328766.txt-22-2	mag_1986_432289.txt-29-3	annotator2	4		chef_nn	2
mag_1995_395507.txt-21-17	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
fic_1844_3928.txt-3841-15	fic_1843_7026.txt-476-36	annotator2	3		chef_nn	2
mag_1845_565442.txt-141-14	fic_2004_32588.txt-86-3	annotator2	1		chef_nn	2
nf_1844_747533.txt-1857-4	fic_2005_50340.txt-357-17	annotator2	1		chef_nn	2
mag_2009_406412.txt-9-7	news_2006_629441.txt-92-6	annotator2	4		chef_nn	2
fic_1846_544.txt-2808-20	mag_1836_554393.txt-176-6	annotator2	3		chef_nn	2
fic_1838_7250.txt-1671-18	nf_1977_774125.txt-1398-15	annotator2	4		chef_nn	2
fic_1835_7142.txt-815-43	news_2007_637870.txt-20-6	annotator2	1		chef_nn	2
mag_1999_407915.txt-20-11	mag_1986_432289.txt-29-3	annotator2	4		chef_nn	2
mag_1860_567343.txt-87-1	nf_1991_774072.txt-1394-40	annotator2	1		chef_nn	2
mag_2003_407716.txt-5-8	news_2006_629441.txt-92-6	annotator2	4		chef_nn	2
news_1977_732998.txt-23-0	mag_2002_397228.txt-0-30	annotator2	4		chef_nn	2
mag_1999_407915.txt-274-7	news_1995_631270.txt-48-3	annotator2	4		chef_nn	2
mag_1836_554393.txt-176-6	mag_2002_397228.txt-0-30	annotator2	1		chef_nn	2
news_1998_652869.txt-1-4	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
news_1994_606768.txt-26-8	nf_1991_774072.txt-1394-40	annotator2	4		chef_nn	2
news_1998_632300.txt-65-5	mag_2002_397228.txt-0-30	annotator2	4		chef_nn	2
fic_1995_39408.txt-349-5	nf_1977_774125.txt-1297-15	annotator2	4		chef_nn	2
fic_1963_780073.txt-930-21	news_2006_629441.txt-92-6	annotator2	4		chef_nn	2
mag_1994_426049.txt-149-1	news_2006_629441.txt-92-6	annotator2	4		chef_nn	2
news_2005_623919.txt-25-4	fic_2005_50340.txt-357-17	annotator2	4		chef_nn	2
fic_1843_7026.txt-1111-34	fic_1848_1108.txt-660-44	annotator2	2		chef_nn	2
mag_1988_327176.txt-25-12	nf_1991_774072.txt-1394-40	annotator2	4		chef_nn	2
mag_1989_328766.txt-15-6	nf_1991_774072.txt-1394-40	annotator2	4		chef_nn	2
fic_1855_602.txt-2563-6	nf_1991_774072.txt-1394-40	annotator2	1		chef_nn	2
news_1996_625831.txt-58-40	news_1995_631270.txt-48-3	annotator2	4		chef_nn	2
mag_1834_564675.txt-91-45	news_1995_631270.txt-48-3	annotator2	1		chef_nn	2
mag_2002_385272.txt-92-13	fic_1848_1108.txt-660-44	annotator2	0	ambiguous	chef_nn	2
news_1993_655748.txt-41-5	nf_1977_774125.txt-1398-15	annotator2	4		chef_nn	2
news_1995_638686.txt-13-1	nf_1991_774072.txt-1394-40	annotator2	4		chef_nn	2
fic_1848_1108.txt-1288-2	news_1995_631270.txt-48-3	annotator2	0	ambiguous	chef_nn	2
mag_1970_490700.txt-1377-6	fic_2005_50340.txt-357-17	annotator2	4		chef_nn	2
news_1993_600214.txt-63-19	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
mag_1831_563844.txt-522-33	news_2007_637870.txt-20-6	annotator2	0		chef_nn	2
news_1996_658409.txt-1-8	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
fic_1827_7168.txt-1724-40	mag_1986_432289.txt-29-3	annotator2	1		chef_nn	2
news_1997_610573.txt-66-9	mag_2002_397228.txt-0-30	annotator2	4		chef_nn	2
news_2007_637889.txt-36-1	nf_1977_774125.txt-1398-15	annotator2	4		chef_nn	2
nf_1999_774962.txt-306-26	fic_2005_50340.txt-357-17	annotator2	4		chef_nn	2
fic_1848_1108.txt-892-14	mag_1986_432289.txt-29-3	annotator2	0	ambiguous	chef_nn	2
news_1997_621043.txt-70-18	news_2007_637870.txt-20-6	annotator2	4		chef_nn	2
mag_1998_400332.txt-12-12	fic_1992_40323.txt-77-14	annotator2	4		chef_nn	2
mag_1827_553813.txt-223-51	fic_1992_40323.txt-77-14	annotator2	0		chef_nn	2
mag_2007_389533.txt-69-8	fic_2007_33461.txt-116-19	annotator2	4		chef_nn	2
mag_1832_564353.txt-125-27	fic_1848_1108.txt-660-44	annotator2	2		chef_nn	2
nf_1977_774125.txt-986-6	nf_1977_774125.txt-1297-15	annotator2	4		chef_nn	2
mag_2004_415399.txt-38-3	mag_1986_432289.txt-29-3	annotator2	4		chef_nn	2
fic_1848_1108.txt-886-11	mag_1986_432289.txt-29-3	annotator2	4		chef_nn	2
mag_1850_555680.txt-297-13	mag_2002_397228.txt-0-30	annotator2	1		chef_nn	2
fic_1848_1108.txt-704-4	nf_1977_774125.txt-1297-15	annotator2	4		chef_nn	2
mag_2001_415832.txt-315-0	mag_1986_432289.txt-29-3	annotator2	4		chef_nn	2
fic_1977_10626.txt-73-4	fic_2005_50340.txt-357-17	annotator2	4		chef_nn	2
fic_1997_42337.txt-598-17	news_1995_631270.txt-48-3	annotator2	4		chef_nn	2
fic_1819_8988.txt-1529-15	mag_1994_426049.txt-149-1	annotator2	1		chef_nn	2
nf_1999_774962.txt-306-26	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
news_1994_641063.txt-27-0	nf_1991_774072.txt-1394-40	annotator5	4		chef_nn	2
news_2007_637889.txt-36-1	nf_1977_774125.txt-1398-15	annotator5	4		chef_nn	2
mag_1989_328766.txt-22-2	mag_1986_432289.txt-29-3	annotator5	3		chef_nn	2
fic_1848_1108.txt-907-2	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
fic_1848_1108.txt-895-6	fic_2004_32588.txt-86-3	annotator5	4		chef_nn	2
mag_1989_328766.txt-15-6	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
nf_1977_774125.txt-1317-2	nf_1977_774125.txt-1398-15	annotator5	4		chef_nn	2
nf_1833_747531.txt-2651-12	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
fic_1848_1108.txt-888-9	nf_1977_774125.txt-1297-15	annotator5	4		chef_nn	2
news_1993_600214.txt-63-19	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
fic_1993_25016.txt-45-24	fic_1848_1108.txt-660-44	annotator5	3		chef_nn	2
fic_1848_1108.txt-658-11	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
fic_1855_602.txt-2563-6	nf_1991_774072.txt-1394-40	annotator5	4		chef_nn	2
news_1998_652869.txt-1-4	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
news_1977_732998.txt-23-0	mag_2002_397228.txt-0-30	annotator5	2		chef_nn	2
fic_1827_7168.txt-1724-40	mag_1986_432289.txt-29-3	annotator5	3		chef_nn	2
mag_2004_414078.txt-72-10	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
mag_1860_567343.txt-87-1	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
mag_1997_428061.txt-153-6	nf_1977_774125.txt-1297-15	annotator5	2		chef_nn	2
mag_2003_407716.txt-5-8	news_2006_629441.txt-92-6	annotator5	4		chef_nn	2
fic_2004_49470.txt-126-19	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
fic_1844_3928.txt-1406-9	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
mag_1988_327176.txt-25-12	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
mag_1827_553811.txt-241-8	mag_1986_432289.txt-29-3	annotator5	2		chef_nn	2
fic_1848_1108.txt-1267-1	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
mag_1843_565236.txt-728-35	fic_2004_32588.txt-86-3	annotator5	3		chef_nn	2
news_2005_623919.txt-25-4	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
fic_1993_25002.txt-9471-1	nf_1977_774125.txt-1398-15	annotator5	3		chef_nn	2
fic_1848_1108.txt-1284-31	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
mag_2004_410917.txt-95-12	nf_1977_774125.txt-1297-15	annotator5	4		chef_nn	2
fic_2008_36299.txt-94-1	fic_1848_1108.txt-660-44	annotator5	2		chef_nn	2
mag_1834_564675.txt-91-45	news_1995_631270.txt-48-3	annotator5	3		chef_nn	2
fic_1848_1108.txt-902-6	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
mag_1827_553813.txt-226-40	mag_1986_432289.txt-29-3	annotator5	2	French sentence, yet same root	chef_nn	2
fic_1848_1108.txt-1271-6	fic_2005_50340.txt-357-17	annotator5	2		chef_nn	2
nf_1991_774072.txt-1191-11	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
fic_1998_43729.txt-862-4	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
nf_1838_747482.txt-609-7	nf_1977_774125.txt-1297-15	annotator5	3		chef_nn	2
news_1977_732998.txt-23-0	news_1993_655748.txt-41-5	annotator5	3		chef_nn	2
nf_2009_774617.txt-77-3	fic_1992_40323.txt-77-14	annotator5	4		chef_nn	2
news_2006_623955.txt-26-1	fic_1848_1108.txt-660-44	annotator5	2		chef_nn	2
mag_1994_409087.txt-47-2	fic_2007_33461.txt-116-19	annotator5	4		chef_nn	2
mag_1997_428061.txt-162-1	nf_1977_774125.txt-1398-15	annotator5	0	not the same root	chef_nn	2
mag_2004_415399.txt-38-3	mag_1986_432289.txt-29-3	annotator5	2		chef_nn	2
fic_1838_7250.txt-1671-18	nf_1977_774125.txt-1398-15	annotator5	2		chef_nn	2
fic_1835_7064.txt-946-17	nf_1977_774125.txt-1398-15	annotator5	3		chef_nn	2
mag_1836_554393.txt-176-33	fic_2005_50340.txt-357-17	annotator5	2		chef_nn	2
fic_1846_544.txt-2808-20	mag_2002_397228.txt-0-30	annotator5	3		chef_nn	2
fic_1819_8988.txt-1529-15	mag_1994_426049.txt-149-1	annotator5	2		chef_nn	2
news_2006_636092.txt-61-0	nf_1977_774125.txt-1398-15	annotator5	3		chef_nn	2
fic_1997_42337.txt-598-17	news_1995_631270.txt-48-3	annotator5	3		chef_nn	2
fic_1846_556.txt-613-30	news_2006_629441.txt-92-6	annotator5	4		chef_nn	2
fic_1850_7304.txt-1678-37	mag_1994_409087.txt-47-2	annotator5	0	different language	chef_nn	2
fic_1848_1108.txt-880-9	mag_1986_432289.txt-29-3	annotator5	3		chef_nn	2
mag_1827_553811.txt-58-39	nf_1991_774072.txt-1394-40	annotator5	2		chef_nn	2
mag_1836_554393.txt-176-6	mag_2002_397228.txt-0-30	annotator5	2		chef_nn	2
fic_1848_1108.txt-704-4	nf_1977_774125.txt-1297-15	annotator5	2		chef_nn	2
news_2004_640280.txt-14-1	nf_1977_774125.txt-1398-15	annotator5	2		chef_nn	2
fic_1995_39408.txt-349-5	nf_1977_774125.txt-1297-15	annotator5	2		chef_nn	2
fic_1999_16036.txt-585-7	news_1995_631270.txt-48-3	annotator5	3		chef_nn	2
mag_1995_395507.txt-45-4	mag_1986_432289.txt-29-3	annotator5	2		chef_nn	2
fic_2001_27380.txt-81-4	nf_1977_774125.txt-1398-15	annotator5	4		chef_nn	2
fic_1963_780073.txt-930-21	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
news_1994_620115.txt-16-3	mag_1986_432289.txt-29-3	annotator5	4		chef_nn	2
nf_1965_773962.txt-441-11	fic_2007_33461.txt-116-19	annotator5	4		chef_nn	2
fic_1844_3928.txt-3841-15	fic_1848_1108.txt-660-44	annotator5	2		chef_nn	2
mag_1850_555680.txt-297-13	mag_2002_397228.txt-0-30	annotator5	2		chef_nn	2
nf_1859_748120.txt-1635-2	fic_2004_32588.txt-86-3	annotator5	2		chef_nn	2
fic_2005_32589.txt-87-26	news_2007_637870.txt-20-6	annotator5	3		chef_nn	2
mag_2009_406412.txt-9-7	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
fic_1850_7304.txt-1678-37	news_2006_629441.txt-92-6	annotator5	0	different language	chef_nn	2
fic_1840_7057.txt-1784-63	mag_1986_432289.txt-29-3	annotator4	2		chef_nn	2
fic_1835_7142.txt-1357-3	news_2007_637870.txt-20-6	annotator4	1	cook vs head	chef_nn	2
mag_1970_490700.txt-1377-6	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
mag_2003_407716.txt-5-8	news_2006_629441.txt-92-6	annotator4	4		chef_nn	2
fic_1835_7142.txt-815-43	news_2007_637870.txt-20-6	annotator4	4		chef_nn	2
mag_1995_395507.txt-21-17	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
fic_1830_7266.txt-2405-21	nf_1991_774072.txt-1394-40	annotator4	1		chef_nn	2
news_2007_637889.txt-36-1	nf_1977_774125.txt-1398-15	annotator4	4		chef_nn	2
news_1969_727860.txt-19-7	fic_2004_32588.txt-86-3	annotator4	4		chef_nn	2
mag_2002_385272.txt-92-13	fic_1848_1108.txt-660-44	annotator4	4		chef_nn	2
mag_2009_405412.txt-17-12	mag_1986_432289.txt-29-3	annotator4	4		chef_nn	2
mag_1994_409087.txt-47-2	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
nf_1833_747531.txt-2651-12	nf_1991_774072.txt-1394-40	annotator4	1		chef_nn	2
fic_1848_1108.txt-1288-2	news_1995_631270.txt-48-3	annotator4	4		chef_nn	2
fic_1848_1108.txt-886-11	mag_1986_432289.txt-29-3	annotator4	4		chef_nn	2
fic_1848_1108.txt-880-9	mag_1986_432289.txt-29-3	annotator4	4		chef_nn	2
fic_2003_27409.txt-227-20	news_1994_620115.txt-16-3	annotator4	4		chef_nn	2
fic_1850_7304.txt-1678-37	fic_1852_9031.txt-1189-25	annotator4	1		chef_nn	2
fic_1846_556.txt-613-30	news_2006_629441.txt-92-6	annotator4	4		chef_nn	2
mag_1995_395507.txt-44-0	fic_1992_40323.txt-77-14	annotator4	4		chef_nn	2
fic_1963_780073.txt-1843-7	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
